n,p-or-m,type,seed,m,err-dm,err-es,time-brandes,time-dm,time-es
100,2.000000,scale-free,559701583,196,1.404372e-22,6.319269e-28,0.001238,0.025622,0.004377
100,2.000000,scale-free,518787521,196,4.017817e-23,2.651803e-25,0.017090,0.004749,0.022241
100,2.000000,scale-free,531424850,196,3.695992e-23,1.414270e-26,0.001268,0.008698,0.003871
100,2.000000,scale-free,550185723,196,5.600687e-23,1.396284e-28,0.001380,0.006497,0.001692
100,2.000000,scale-free,1484468608,196,6.766293e-23,6.888116e-26,0.000630,0.020925,0.003051
100,2.000000,scale-free,2574974512,196,1.155701e-23,1.135171e-27,0.001931,0.030137,0.005349
300,2.000000,scale-free,2484971338,596,4.380579e-20,3.398234e-24,0.006385,0.124041,0.024828
300,2.000000,scale-free,2447059286,596,1.491779e-19,2.663549e-25,0.006339,0.117981,0.018679
300,2.000000,scale-free,842212418,596,2.091694e-20,8.295898e-26,0.006314,0.117157,0.012424
300,2.000000,scale-free,1134102131,596,1.903561e-20,3.633662e-24,0.006284,0.117413,0.019430
300,2.000000,scale-free,3025150151,596,2.952068e-20,8.583478e-24,0.006754,0.131788,0.020070
300,2.000000,scale-free,1051141142,596,2.431338e-20,1.047047e-24,0.006531,0.130400,0.024570
300,2.000000,scale-free,1809665632,596,5.314141e-21,1.142973e-24,0.006973,0.127566,0.021313
300,2.000000,scale-free,494400060,596,1.129363e-20,1.001355e-24,0.006176,0.118988,0.010818
300,2.000000,scale-free,4022983582,596,1.711807e-19,7.977159e-26,0.006307,0.125447,0.017937
500,0.900000,random,2099631144,112350,1.193833e-23,3.079713e-27,0.362281,0.818750,0.530004
300,2.000000,scale-free,3905428083,596,7.236271e-20,2.115378e-25,0.006209,0.123962,0.024217
500,2.000000,scale-free,2562868762,996,1.629540e-18,4.774970e-24,0.017981,0.616994,0.035092
500,2.000000,scale-free,620662117,996,1.866658e-18,1.910237e-23,0.018882,0.619659,0.067847
500,0.900000,random,3240071577,112334,3.252725e-23,2.448624e-27,0.378813,0.770703,0.517462
500,2.000000,scale-free,1878761738,996,4.087938e-18,9.055626e-25,0.018047,0.608560,0.072184
500,2.000000,scale-free,4174103998,996,3.726856e-19,6.731586e-23,0.019650,0.570045,0.036381
500,2.000000,scale-free,2785317537,996,1.432876e-18,1.147960e-22,0.018670,0.583944,0.044172
500,2.000000,scale-free,1351724881,996,4.118350e-19,1.028722e-24,0.017932,0.640711,0.016049
500,2.000000,scale-free,79557986,996,7.487988e-19,1.619655e-23,0.018072,0.650994,0.068816
500,2.000000,scale-free,578591367,996,4.109304e-18,2.340330e-24,0.019485,0.716219,0.071772
100,4.000000,scale-free,1353010087,389,4.209210e-24,1.697383e-26,0.001298,0.019898,0.002372
100,4.000000,scale-free,3026874175,389,2.362717e-23,1.034416e-25,0.002192,0.023778,0.003323
100,4.000000,scale-free,1820399806,389,4.659050e-24,7.763348e-26,0.001703,0.019865,0.002059
100,4.000000,scale-free,2276596064,389,5.174154e-23,1.320353e-26,0.001632,0.009098,0.002076
100,4.000000,scale-free,748043412,389,9.745006e-24,1.445674e-26,0.001667,0.024584,0.002863
100,4.000000,scale-free,1572054042,389,1.561480e-23,1.305460e-26,0.001541,0.009296,0.001953
100,4.000000,scale-free,1274153130,389,3.930002e-24,1.333482e-26,0.001724,0.009417,0.019838
100,4.000000,scale-free,3644990804,389,1.770044e-23,1.390068e-26,0.001682,0.009128,0.002559
100,4.000000,scale-free,3074898903,389,9.626479e-24,1.324134e-26,0.000897,0.008705,0.002919
100,4.000000,scale-free,2810640223,389,6.260755e-24,1.297723e-26,0.001660,0.009291,0.003395
500,2.000000,scale-free,3404495538,996,5.728316e-19,3.798882e-24,0.017598,0.578681,0.068485
300,4.000000,scale-free,607088706,1189,2.473517e-20,1.119610e-23,0.008149,0.115623,0.013392
300,4.000000,scale-free,2047249860,1189,3.820166e-20,4.160358e-24,0.008122,0.117212,0.009970
500,2.000000,scale-free,4112823734,996,1.899607e-18,3.777060e-24,0.018051,0.573671,0.071897
300,4.000000,scale-free,4104246166,1189,3.079830e-20,4.514700e-24,0.008548,0.117999,0.012801
300,4.000000,scale-free,4108648469,1189,2.547750e-20,3.750121e-24,0.007960,0.121866,0.011772
300,4.000000,scale-free,3541550938,1189,8.665317e-21,3.181591e-24,0.008126,0.124875,0.013312
300,4.000000,scale-free,2242631990,1189,1.166124e-20,1.099994e-23,0.008390,0.123438,0.013636
300,4.000000,scale-free,1771078157,1189,2.218028e-20,8.996728e-25,0.007938,0.117738,0.015678
300,4.000000,scale-free,1497649389,1189,1.054051e-20,2.236587e-25,0.009610,0.127563,0.025339
300,4.000000,scale-free,3766410784,1189,7.535650e-21,5.190632e-24,0.008381,0.119777,0.011871
300,4.000000,scale-free,767046424,1189,1.390034e-20,1.082702e-23,0.009480,0.125911,0.010164
500,0.900000,random,429037650,112234,3.054024e-23,2.764169e-27,0.390176,0.972280,0.529467
500,4.000000,scale-free,491210019,1989,2.850543e-19,6.342046e-23,0.022950,0.605481,0.060351
500,4.000000,scale-free,4214120534,1989,4.566094e-19,7.168131e-23,0.023531,0.671180,0.027066
500,4.000000,scale-free,2483200471,1989,1.062344e-18,4.366400e-23,0.023248,0.912998,0.055144
500,4.000000,scale-free,1375929877,1989,3.835626e-19,1.973303e-23,0.024679,0.760772,0.042666
500,4.000000,scale-free,3638867865,1989,5.578031e-19,6.179285e-23,0.023884,0.616934,0.042183
500,4.000000,scale-free,2587707412,1989,8.049071e-20,3.660357e-24,0.022955,0.626645,0.039091
500,4.000000,scale-free,571901212,1989,3.352567e-19,5.810950e-23,0.022830,0.546142,0.068050
100,6.000000,scale-free,428642573,578,1.496416e-23,1.680939e-27,0.001055,0.020208,0.003319
100,6.000000,scale-free,530806760,578,3.528405e-23,4.281687e-26,0.001773,0.009787,0.002028
500,4.000000,scale-free,2938252733,1989,9.301340e-19,2.801226e-23,0.023291,0.578591,0.037291
100,6.000000,scale-free,1191937372,578,4.179419e-23,5.499877e-26,0.001776,0.007513,0.002431
100,6.000000,scale-free,64425663,578,4.313821e-23,2.908380e-26,0.001202,0.006232,0.002229
100,6.000000,scale-free,4241406054,578,3.549071e-23,1.052636e-28,0.001914,0.009735,0.004201
100,6.000000,scale-free,699982218,578,9.970180e-23,6.668537e-27,0.001739,0.021418,0.017473
100,6.000000,scale-free,3451487391,578,1.453731e-23,7.537714e-27,0.002199,0.024183,0.002900
100,6.000000,scale-free,991973021,578,2.116424e-23,8.078362e-26,0.001172,0.018930,0.016313
100,6.000000,scale-free,996789520,578,7.104592e-23,4.222131e-26,0.001879,0.009213,0.001484
100,6.000000,scale-free,2056029251,578,1.833699e-22,1.615632e-26,0.002235,0.011106,0.003390
500,4.000000,scale-free,1573202942,1989,2.674971e-19,1.625212e-23,0.023293,0.611801,0.050526
300,6.000000,scale-free,2810269016,1778,2.629903e-19,2.146549e-24,0.008547,0.114668,0.008802
300,6.000000,scale-free,963766734,1778,1.222264e-19,8.984901e-25,0.009242,0.120707,0.014895
500,4.000000,scale-free,1862916986,1989,4.522286e-19,5.663000e-23,0.024649,0.601743,0.045866
300,6.000000,scale-free,1239380397,1778,2.574983e-19,5.795940e-24,0.008448,0.121514,0.017465
300,6.000000,scale-free,4215139147,1778,3.083869e-19,4.568234e-24,0.008444,0.116924,0.023839
300,6.000000,scale-free,3992076433,1778,1.493527e-19,4.654102e-24,0.008242,0.114975,0.010497
300,6.000000,scale-free,1347052569,1778,3.090543e-19,7.871934e-24,0.008231,0.119607,0.009565
300,6.000000,scale-free,4289293867,1778,1.323987e-19,1.947517e-24,0.008314,0.116946,0.013889
300,6.000000,scale-free,112403752,1778,1.532177e-19,9.353382e-25,0.009234,0.117185,0.013938
300,6.000000,scale-free,3947885536,1778,2.804188e-19,1.827617e-23,0.008293,0.111365,0.008070
300,6.000000,scale-free,1349992041,1778,3.281690e-19,1.930717e-24,0.008344,0.112517,0.007440
500,6.000000,scale-free,1353266985,2978,2.515891e-18,7.001390e-23,0.026010,0.637144,0.029702
500,6.000000,scale-free,278945520,2978,7.563368e-19,6.563010e-23,0.025995,0.630595,0.045186
500,6.000000,scale-free,1806851595,2978,6.053991e-19,1.784538e-23,0.026473,0.635268,0.047342
500,6.000000,scale-free,3940757239,2978,1.927582e-18,3.835814e-23,0.026994,0.701029,0.040391
500,6.000000,scale-free,3835941745,2978,1.408784e-18,3.432635e-23,0.025385,0.572350,0.082464
500,6.000000,scale-free,244312366,2978,1.372749e-18,6.715221e-23,0.026043,0.572572,0.032563
500,6.000000,scale-free,3182197227,2978,3.948082e-18,5.036198e-23,0.024650,0.618214,0.051270
100,8.000000,scale-free,4137209682,763,5.594790e-23,2.101668e-26,0.000990,0.026799,0.001686
500,6.000000,scale-free,3153383329,2978,1.760837e-18,1.368432e-22,0.025764,0.631003,0.027621
100,8.000000,scale-free,736959990,763,7.658723e-23,3.635071e-27,0.001663,0.007689,0.003412
100,8.000000,scale-free,3555174232,763,1.018577e-22,7.539242e-27,0.002027,0.009135,0.005572
100,8.000000,scale-free,1288294795,763,1.517209e-22,3.091153e-26,0.002078,0.009868,0.006977
100,8.000000,scale-free,4103903956,763,7.103620e-23,1.941273e-26,0.002550,0.011701,0.002797
100,8.000000,scale-free,3677523709,763,6.332053e-23,3.636057e-27,0.001496,0.008705,0.003249
100,8.000000,scale-free,2561570061,763,9.537700e-23,1.969728e-26,0.001217,0.012032,0.016900
100,8.000000,scale-free,371472192,763,9.172985e-23,2.105519e-26,0.002331,0.032965,0.003761
